t,ax,ay,az,gx,gy,gz
117.681,2.0500000000000003,-9.020000000000001,11.94,-0.08,-0.11000000000000001,-0.3
117.839,2.83,-8.82,11.53,-0.21000000000000002,-0.020000000000000004,-0.32
117.963,3.1,-8.75,11.48,-0.06999999999999999,0.09,-0.46
118.087,3.7100000000000004,-9.08,11.62,-0.2,0.019999999999999997,-0.56
118.212,4.77,-8.440000000000001,11.42,-0.13,0.11,-0.58
118.337,5.279999999999999,-7.54,11.16,-0.21000000000000002,0.18,-0.52
118.461,5.989999999999999,-7.13,10.959999999999999,-0.19,0.11,-0.47
118.585,6.58,-6.68,10.809999999999999,-0.2,0.019999999999999997,-0.41
118.71,6.77,-6.22,10.65,-0.14,0.03,-0.41
118.834,7.199999999999999,-5.9399999999999995,10.53,-0.15000000000000002,0.0,-0.38
118.958,7.39,-5.76,10.42,-0.09,-0.05,-0.38
119.082,7.94,-5.34,10.2,-0.18000000000000002,-0.03,-0.38
119.207,8.030000000000001,-4.9799999999999995,10.01,-0.23,-0.06,-0.37
119.331,8.350000000000001,-4.47,9.969999999999999,-0.14,-0.07,-0.51
119.455,8.91,-4.08,9.709999999999999,-0.36,-0.08,-0.38
119.58,8.88,-3.31,9.36,-0.35,0.08,-0.32
119.704,9.13,-3.4099999999999997,9.469999999999999,-0.52,-0.06,-0.14
119.829,8.63,-2.58,8.969999999999999,-0.32999999999999996,-0.08,-0.15
119.953,8.74,-3.88,8.78,-0.22,0.08,-0.23
120.077,8.25,-3.04,8.489999999999998,-0.31,0.27,-0.18
120.202,9.41,-2.6399999999999997,8.98,0.22,-0.35,-0.49
120.326,9.39,-2.8,8.45,0.01,-0.04000000000000001,-0.22
120.45,9.100000000000001,-2.21,8.739999999999998,0.04,-0.08,-0.18
120.575,9.26,-1.29,8.899999999999999,-0.09,0.24,-0.2
120.699,9.41,-1.5699999999999998,9.25,-0.039999999999999994,0.019999999999999997,-0.24
120.824,9.940000000000001,-0.7699999999999999,9.1,-0.12000000000000001,0.05,-0.16
120.948,9.17,-0.64,9.2,-0.039999999999999994,-0.020000000000000004,-0.23
121.072,9.74,-0.29000000000000004,9.27,0.02,0.07,-0.23
